number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_l2,params_learning_rate,params_n_layers,params_units_0,params_units_1,params_units_2,params_units_3,params_units_4,user_attrs_epochs_trained,user_attrs_train_auc_final,user_attrs_val_auc_best,system_attrs_tpe:relative_params:0,state
24,0.7802228927612305,2026-09-10 12:34:21.366239,2026-09-10 12:36:53.801825,0 days 00:02:32.435586,relu,1024,0.4925465303264811,0.000441554050469142,0.0005478040615780017,3,32,256,128.0,,,13.0,0.7462139129638672,0.7802228927612305,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.4925465303264811, ""l2"": 0.000441554050469142, ""learning_rate"": 0.0005478040615780017, ""n_layers"": 3, ""units_0"": 32, ""units_1"": 256}",COMPLETE
25,0.782875657081604,2026-09-10 12:36:53.830446,2026-09-10 12:41:13.720955,0 days 00:04:19.890509,relu,1024,0.44751980702055405,0.000164356469747631,0.0007358845741890316,4,256,256,128.0,64.0,,15.0,0.7546179294586182,0.782875657081604,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.44751980702055405, ""l2"": 0.000164356469747631, ""learning_rate"": 0.0007358845741890316, ""n_layers"": 4, ""units_0"": 256, ""units_1"": 256}",COMPLETE
26,0.7850161194801331,2026-09-10 12:41:13.748337,2026-09-10 12:46:08.411256,0 days 00:04:54.662919,relu,1024,0.4416531700792343,9.157220169463765e-06,0.0008953934554525114,3,256,256,128.0,,,18.0,0.7601500749588013,0.7850161194801331,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.4416531700792343, ""l2"": 9.157220169463765e-06, ""learning_rate"": 0.0008953934554525114, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
27,0.7810488939285278,2026-09-10 12:46:08.450409,2026-09-10 12:53:52.660909,0 days 00:07:44.210500,relu,1024,0.4101845758282991,2.5238881685168713e-05,0.0001438989459773807,3,256,256,128.0,,,26.0,0.7526151537895203,0.7810488939285278,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.4101845758282991, ""l2"": 2.5238881685168713e-05, ""learning_rate"": 0.0001438989459773807, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
28,0.7802951335906982,2026-09-10 12:53:52.687256,2026-09-10 13:02:19.670557,0 days 00:08:26.983301,relu,1024,0.4406095209651085,0.000128468166429672,6.345915406218197e-05,2,256,256,,,,34.0,0.746149480342865,0.7802951335906982,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.4406095209651085, ""l2"": 0.000128468166429672, ""learning_rate"": 6.345915406218197e-05, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
29,0.7791976928710938,2026-09-10 13:02:19.709461,2026-09-10 13:04:26.981665,0 days 00:02:07.272204,relu,1024,0.44573730934476924,1.1023854277966352e-05,0.0009145904905287219,2,256,256,,,,7.0,0.7535685300827026,0.7791976928710938,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.44573730934476924, ""l2"": 1.1023854277966352e-05, ""learning_rate"": 0.0009145904905287219, ""n_layers"": 2, ""units_0"": 256, ""units_1"": 256}",COMPLETE
30,0.7804210782051086,2026-09-10 13:04:27.019242,2026-09-10 13:05:21.177679,0 days 00:00:54.158437,relu,1024,0.2938758010119901,2.7620247206526587e-06,0.00304304487071815,2,64,256,,,,6.0,0.7565165162086487,0.7804210782051086,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.2938758010119901, ""l2"": 2.7620247206526587e-06, ""learning_rate"": 0.00304304487071815, ""n_layers"": 2, ""units_0"": 64, ""units_1"": 256}",COMPLETE
31,0.7812058925628662,2026-09-10 13:05:21.211503,2026-09-10 13:11:49.224134,0 days 00:06:28.012631,relu,1024,0.43682806112334654,0.0001755296588916362,0.0001453639068403773,4,256,256,128.0,128.0,,21.0,0.7420525550842285,0.7812058925628662,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.43682806112334654, ""l2"": 0.0001755296588916362, ""learning_rate"": 0.0001453639068403773, ""n_layers"": 4, ""units_0"": 256, ""units_1"": 256}",COMPLETE
32,0.7833817005157471,2026-09-10 13:11:49.253154,2026-09-10 13:14:46.337909,0 days 00:02:57.084755,relu,1024,0.48326777218157735,3.2009333568192814e-05,0.0004012344355258974,3,256,256,128.0,,,11.0,0.7475886940956116,0.7833817005157471,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.48326777218157735, ""l2"": 3.2009333568192814e-05, ""learning_rate"": 0.0004012344355258974, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
33,0.782918393611908,2026-09-10 13:14:46.372485,2026-09-10 13:20:00.468156,0 days 00:05:14.095671,relu,1024,0.48274763722362035,3.4832211845190585e-06,0.0003649828109641194,3,256,256,128.0,,,19.0,0.7539418339729309,0.782918393611908,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.48274763722362035, ""l2"": 3.4832211845190585e-06, ""learning_rate"": 0.0003649828109641194, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
